name,Index,Intensity,MaximumWind,Date,Time,Latitude,Longitude,WSpeed,long,lat,cat,level
SEPAT,1,Tropical Depression,45km/h,27/6/2019,9:00:00,31.50N,133.5,45,133.5,31.5,TD,1
SEPAT,2,Tropical Depression,55km/h,27/6/2019,12:00:00,32.60N,134.6,55,134.6,32.6,TD,1
MUN,1,Tropical Depression,45km/h,2/7/2019,9:00:00,18.80N,111.8,45,111.8,18.8,TD,1
MUN,2,Tropical Depression,45km/h,2/7/2019,12:00:00,18.80N,111.3,45,111.3,18.8,TD,1
MUN,3,Tropical Depression,45km/h,2/7/2019,15:00:00,18.90N,110.8,45,110.8,18.9,TD,1
MUN,4,Tropical Depression,45km/h,2/7/2019,18:00:00,18.90N,110.3,45,110.3,18.9,TD,1
MUN,5,Tropical Depression,45km/h,2/7/2019,21:00:00,18.90N,109.5,45,109.5,18.9,TD,1
MUN,6,Tropical Depression,45km/h,3/7/2019,0:00:00,18.90N,109.3,45,109.3,18.9,TD,1
MUN,7,Tropical Depression,55km/h,3/7/2019,3:00:00,19.00N,108.9,55,108.9,19,TD,1
MUN,8,Tropical Depression,55km/h,3/7/2019,6:00:00,19.20N,108.4,55,108.4,19.2,TD,1
MUN,9,Tropical Depression,55km/h,3/7/2019,9:00:00,19.20N,108,55,108,19.2,TD,1
MUN,10,Tropical Depression,55km/h,3/7/2019,12:00:00,19.40N,107.5,55,107.5,19.4,TD,1
MUN,11,Tropical Depression,55km/h,3/7/2019,15:00:00,19.70N,107.1,55,107.1,19.7,TD,1
MUN,12,Tropical Depression,55km/h,3/7/2019,18:00:00,19.80N,106.9,55,106.9,19.8,TD,1
MUN,13,Tropical Depression,55km/h,3/7/2019,21:00:00,20.20N,106.6,55,106.6,20.2,TD,1
MUN,14,Tropical Depression,45km/h,4/7/2019,0:00:00,20.50N,106.2,45,106.2,20.5,TD,1
DANAS,1,Tropical Depression,45km/h,15/7/2019,12:00:00,16.90N,130.6,45,130.6,16.9,TD,1
